,Weekday,WeekdayName,Sleeping
0,0,Monday,30364.113608083826
1,1,Tuesday,31486.510787120053
2,2,Wednesday,31561.427941787
3,3,Thursday,30882.50432805688
4,4,Friday,32375.068838827887
5,5,Saturday,34586.32326761117
6,6,Sunday,34234.507693355285
