grelha_id,dicofre,entity_id,entity_type,freguesia,freguesias,grelha_x,grelha_y,latitude,longitude,nome,objectid,position,wkt
2852,110618,coi.tematica.grelha.lx.atributos.2298,coi.tematica.grelha.lx.atributos,Lumiar,Lumiar,33,53,38.76497653350,-9.17292497072,Eixo Norte Sul - Telheiras,2852,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.17202363, 38.764274887], [-9.17382026, 38.764274887], [-9.17382026, 38.765675758], [-9.17202363, 38.765675758], [-9.17202363, 38.764274887]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.17202362968134 38.7642748873384,-9.17382026024958 38.7642748873384,-9.17382026024958 38.7656757576694,-9.17202362968134 38.7656757576694,-9.17202362968134 38.7642748873384)))"
2858,110618,coi.tematica.grelha.lx.atributos.2304,coi.tematica.grelha.lx.atributos,Lumiar,Lumiar,39,53,38.76497653350,-9.16214518731,Lumiar,2858,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.161243846, 38.764274887], [-9.163040477, 38.764274887], [-9.163040477, 38.765675758], [-9.161243846, 38.765675758], [-9.161243846, 38.764274887]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.16124384627191 38.7642748873384,-9.16304047684015 38.7642748873384,-9.16304047684015 38.7656757576694,-9.16124384627191 38.7656757576694,-9.16124384627191 38.7642748873384)))"
2839,110611,coi.tematica.grelha.lx.atributos.2316,coi.tematica.grelha.lx.atributos,Carnide,Carnide,20,53,38.76497653350,-9.19628116811,Carnide,2839,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.195379827, 38.764274887], [-9.197176458, 38.764274887], [-9.197176458, 38.765675758], [-9.195379827, 38.765675758], [-9.195379827, 38.764274887]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.19537982706845 38.7642748873384,-9.19717645763669 38.7642748873384,-9.19717645763669 38.7656757576694,-9.19537982706845 38.7656757576694,-9.19537982706845 38.7642748873384)))"
2680,110618,coi.tematica.grelha.lx.atributos.2188,coi.tematica.grelha.lx.atributos,Lumiar,Lumiar,43,50,38.76077379880,-9.15495866504,Al. Linhas de Torres,2680,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.154057324, 38.760072111], [-9.155853955, 38.760072111], [-9.155853955, 38.761473064], [-9.154057324, 38.761473064], [-9.154057324, 38.760072111]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.15405732399895 38.7600721113229,-9.15585395456719 38.7600721113229,-9.15585395456719 38.7614730641648,-9.15405732399895 38.7614730641648,-9.15405732399895 38.7600721113229)))"
2715,110662,coi.tematica.grelha.lx.atributos.2191,coi.tematica.grelha.lx.atributos,Parque das Nações,Santa Maria dos Olivais,78,50,38.76077379880,-9.09207659515,Parque das Nações,2715,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.091175254, 38.760072111], [-9.092971885, 38.760072111], [-9.092971885, 38.761473064], [-9.091175254, 38.761473064], [-9.091175254, 38.760072111]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.09117525411059 38.7600721113229,-9.09297188467882 38.7600721113229,-9.09297188467882 38.7614730641648,-9.09117525411059 38.7614730641648,-9.09117525411059 38.7600721113229)))"
2697,110621,coi.tematica.grelha.lx.atributos.2200,coi.tematica.grelha.lx.atributos,Marvila,Marvila,60,50,38.76077379880,-9.12441594538,Flamengas,2697,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.123514604, 38.760072111], [-9.125311235, 38.760072111], [-9.125311235, 38.761473064], [-9.123514604, 38.761473064], [-9.123514604, 38.760072111]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.12351460433889 38.7600721113229,-9.12531123490713 38.7600721113229,-9.12531123490713 38.7614730641648,-9.12351460433889 38.7614730641648,-9.12351460433889 38.7600721113229)))"
2627,110654,coi.tematica.grelha.lx.atributos.2219,coi.tematica.grelha.lx.atributos,Alvalade,Alvalade + Campo Grande + São João de Brito,52,49,38.75937283220,-9.13878898992,Avenida de Brasil,2627,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.137887649, 38.758671131], [-9.139684279, 38.758671131], [-9.139684279, 38.760072111], [-9.137887649, 38.760072111], [-9.137887649, 38.758671131]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.1378876488848 38.758671130978,-9.13968427945304 38.758671130978,-9.13968427945304 38.7600721113229,-9.1378876488848 38.7600721113229,-9.1378876488848 38.758671130978)))"
2609,110618,coi.tematica.grelha.lx.atributos.2229,coi.tematica.grelha.lx.atributos,Lumiar,Lumiar,34,49,38.75937283220,-9.17112834015,Telheiras,2609,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.170226999, 38.758671131], [-9.17202363, 38.758671131], [-9.17202363, 38.760072111], [-9.170226999, 38.760072111], [-9.170226999, 38.758671131]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.1702269991131 38.758671130978,-9.17202362968134 38.758671130978,-9.17202362968134 38.7600721113229,-9.1702269991131 38.7600721113229,-9.1702269991131 38.758671130978)))"
2658,110611,coi.tematica.grelha.lx.atributos.2244,coi.tematica.grelha.lx.atributos,Carnide,Carnide,21,50,38.76077379880,-9.19448453754,Carnide,2658,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.193583197, 38.760072111], [-9.195379827, 38.760072111], [-9.195379827, 38.761473064], [-9.193583197, 38.761473064], [-9.193583197, 38.760072111]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.19358319650021 38.7600721113229,-9.19537982706845 38.7600721113229,-9.19537982706845 38.7614730641648,-9.19358319650021 38.7614730641648,-9.19358319650021 38.7600721113229)))"
2637,110621,coi.tematica.grelha.lx.atributos.2250,coi.tematica.grelha.lx.atributos,Marvila,Marvila,62,49,38.75937283220,-9.12082268424,Feira do Relógio,2637,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.119921343, 38.758671131], [-9.121717974, 38.758671131], [-9.121717974, 38.760072111], [-9.119921343, 38.760072111], [-9.119921343, 38.758671131]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.11992134320241 38.758671130978,-9.12171797377065 38.758671130978,-9.12171797377065 38.7600721113229,-9.11992134320241 38.7600721113229,-9.11992134320241 38.758671130978)))"
2828,110633,coi.tematica.grelha.lx.atributos.2306,coi.tematica.grelha.lx.atributos,Olivais,Santa Maria dos Olivais,69,52,38.76357564940,-9.10824627026,"Olivais, junto Cemitério",2828,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.107344929, 38.76287399], [-9.10914156, 38.76287399], [-9.10914156, 38.764274887], [-9.107344929, 38.764274887], [-9.107344929, 38.76287399]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.10734492922474 38.7628739895034,-9.10914155979298 38.7628739895034,-9.10914155979298 38.7642748873384,-9.10734492922474 38.7642748873384,-9.10734492922474 38.7628739895034)))"
2837,110662,coi.tematica.grelha.lx.atributos.2314,coi.tematica.grelha.lx.atributos,Parque das Nações,Santa Maria dos Olivais,78,52,38.76357564940,-9.09207659515,Parque das Nações,2837,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.091175254, 38.76287399], [-9.092971885, 38.76287399], [-9.092971885, 38.764274887], [-9.091175254, 38.764274887], [-9.091175254, 38.76287399]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.09117525411059 38.7628739895034,-9.09297188467882 38.7628739895034,-9.09297188467882 38.7642748873384,-9.09117525411059 38.7642748873384,-9.09117525411059 38.7628739895034)))"
2759,110633,coi.tematica.grelha.lx.atributos.2327,coi.tematica.grelha.lx.atributos,Olivais,Santa Maria dos Olivais,61,51,38.76217473790,-9.12261931481,Av. Marechal Gomes da Costa,2759,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.121717974, 38.761473064], [-9.123514604, 38.761473064], [-9.123514604, 38.76287399], [-9.121717974, 38.76287399], [-9.121717974, 38.761473064]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.12171797377065 38.7614730641648,-9.12351460433889 38.7614730641648,-9.12351460433889 38.7628739895034,-9.12171797377065 38.7628739895034,-9.12171797377065 38.7614730641648)))"
2748,110654,coi.tematica.grelha.lx.atributos.2321,coi.tematica.grelha.lx.atributos,Alvalade,Alvalade + Campo Grande + São João de Brito,50,51,38.76217473790,-9.14238225106,Segunda Circular {Campo Grande - Terminal 2},2748,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.14148091, 38.761473064], [-9.143277541, 38.761473064], [-9.143277541, 38.76287399], [-9.14148091, 38.76287399], [-9.14148091, 38.761473064]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.14148091002128 38.7614730641648,-9.14327754058952 38.7614730641648,-9.14327754058952 38.7628739895034,-9.14148091002128 38.7628739895034,-9.14148091002128 38.7614730641648)))"
2757,110621,coi.tematica.grelha.lx.atributos.2325,coi.tematica.grelha.lx.atributos,Marvila,Marvila,59,51,38.76217473790,-9.12621257595,Av. Marechal Gomes da Costa,2757,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.125311235, 38.761473064], [-9.127107865, 38.761473064], [-9.127107865, 38.76287399], [-9.125311235, 38.76287399], [-9.125311235, 38.761473064]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.12531123490713 38.7614730641648,-9.12710786547537 38.7614730641648,-9.12710786547537 38.7628739895034,-9.12531123490713 38.7628739895034,-9.12531123490713 38.7614730641648)))"
2744,110618,coi.tematica.grelha.lx.atributos.2344,coi.tematica.grelha.lx.atributos,Lumiar,Lumiar,46,51,38.76217473790,-9.14956877333,Segunda Circular {Campo Grande - Terminal 2},2744,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.148667432, 38.761473064], [-9.150464063, 38.761473064], [-9.150464063, 38.76287399], [-9.148667432, 38.76287399], [-9.148667432, 38.761473064]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.14866743229424 38.7614730641648,-9.15046406286248 38.7614730641648,-9.15046406286248 38.7628739895034,-9.14866743229424 38.7628739895034,-9.14866743229424 38.7614730641648)))"
2741,110618,coi.tematica.grelha.lx.atributos.2341,coi.tematica.grelha.lx.atributos,Lumiar,Lumiar,43,51,38.76217473790,-9.15495866504,Quinta do Lambert,2741,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.154057324, 38.761473064], [-9.155853955, 38.761473064], [-9.155853955, 38.76287399], [-9.154057324, 38.76287399], [-9.154057324, 38.761473064]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.15405732399895 38.7614730641648,-9.15585395456719 38.7614730641648,-9.15585395456719 38.7628739895034,-9.15405732399895 38.7628739895034,-9.15405732399895 38.7614730641648)))"
2874,110633,coi.tematica.grelha.lx.atributos.2457,coi.tematica.grelha.lx.atributos,Olivais,Santa Maria dos Olivais,55,53,38.76497653350,-9.13339909822,Aeroporto,2874,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.132497757, 38.764274887], [-9.134294388, 38.764274887], [-9.134294388, 38.765675758], [-9.132497757, 38.765675758], [-9.132497757, 38.764274887]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.13249775718008 38.7642748873384,-9.13429438774832 38.7642748873384,-9.13429438774832 38.7656757576694,-9.13249775718008 38.7656757576694,-9.13249775718008 38.7642748873384)))"
2886,110633,coi.tematica.grelha.lx.atributos.2437,coi.tematica.grelha.lx.atributos,Olivais,Santa Maria dos Olivais,67,53,38.76497653350,-9.11183953140,Olivais Sul,2886,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.11093819, 38.764274887], [-9.112734821, 38.764274887], [-9.112734821, 38.765675758], [-9.11093819, 38.765675758], [-9.11093819, 38.764274887]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.11093819036122 38.7642748873384,-9.11273482092946 38.7642748873384,-9.11273482092946 38.7656757576694,-9.11093819036122 38.7656757576694,-9.11093819036122 38.7642748873384)))"
2884,110633,coi.tematica.grelha.lx.atributos.2435,coi.tematica.grelha.lx.atributos,Olivais,Santa Maria dos Olivais,65,53,38.76497653350,-9.11543279254,Olivais Sul,2884,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.114531451, 38.764274887], [-9.116328082, 38.764274887], [-9.116328082, 38.765675758], [-9.114531451, 38.765675758], [-9.114531451, 38.764274887]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.11453145149769 38.7642748873384,-9.11632808206593 38.7642748873384,-9.11632808206593 38.7656757576694,-9.11453145149769 38.7656757576694,-9.11453145149769 38.7642748873384)))"
2863,110618,coi.tematica.grelha.lx.atributos.2446,coi.tematica.grelha.lx.atributos,Lumiar,Lumiar,44,53,38.76497653350,-9.15316203447,Quinta do Lambert,2863,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.152260693, 38.764274887], [-9.154057324, 38.764274887], [-9.154057324, 38.765675758], [-9.152260693, 38.765675758], [-9.152260693, 38.764274887]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.15226069343071 38.7642748873384,-9.15405732399895 38.7642748873384,-9.15405732399895 38.7656757576694,-9.15226069343071 38.7656757576694,-9.15226069343071 38.7642748873384)))"
2896,110662,coi.tematica.grelha.lx.atributos.2478,coi.tematica.grelha.lx.atributos,Parque das Nações,Santa Maria dos Olivais,77,53,38.76497653350,-9.09387322572,Parque das Nações,2896,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.092971885, 38.764274887], [-9.094768515, 38.764274887], [-9.094768515, 38.765675758], [-9.092971885, 38.765675758], [-9.092971885, 38.764274887]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.09297188467882 38.7642748873384,-9.09476851524706 38.7642748873384,-9.09476851524706 38.7656757576694,-9.09297188467882 38.7656757576694,-9.09297188467882 38.7642748873384)))"
2909,110618,coi.tematica.grelha.lx.atributos.2458,coi.tematica.grelha.lx.atributos,Lumiar,Lumiar,31,54,38.76637739000,-9.17651823186,Hospital das Forças Armadas,2909,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.175616891, 38.765675758], [-9.177413521, 38.765675758], [-9.177413521, 38.7670766], [-9.175616891, 38.7670766], [-9.175616891, 38.765675758]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.17561689081782 38.7656757576694,-9.17741352138606 38.7656757576694,-9.17741352138606 38.7670766004963,-9.17561689081782 38.7670766004963,-9.17561689081782 38.7656757576694)))"
2955,110662,coi.tematica.grelha.lx.atributos.2381,coi.tematica.grelha.lx.atributos,Parque das Nações,Santa Maria dos Olivais,77,54,38.76637739000,-9.09387322572,Parque das Nações,2955,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.092971885, 38.765675758], [-9.094768515, 38.765675758], [-9.094768515, 38.7670766], [-9.092971885, 38.7670766], [-9.092971885, 38.765675758]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.09297188467882 38.7656757576694,-9.09476851524706 38.7656757576694,-9.09476851524706 38.7670766004963,-9.09297188467882 38.7670766004963,-9.09297188467882 38.7656757576694)))"
2953,110662,coi.tematica.grelha.lx.atributos.2379,coi.tematica.grelha.lx.atributos,Parque das Nações,Santa Maria dos Olivais,75,54,38.76637739000,-9.09746648685,Av. Dom João II,2953,"{'type': 'GeometryCollection', 'geometries': [{'coordinates': [[[-9.096565146, 38.765675758], [-9.098361776, 38.765675758], [-9.098361776, 38.7670766], [-9.096565146, 38.7670766], [-9.096565146, 38.765675758]]], 'type': 'Polygon'}]}","MULTIPOLYGON (((-9.0965651458153 38.7656757576694,-9.09836177638354 38.7656757576694,-9.09836177638354 38.7670766004963,-9.0965651458153 38.7670766004963,-9.0965651458153 38.7656757576694)))"
